,Year,N_ID,Pop,C_Rate,Ad_Ed,Child_Care,Com_House,Emp_Res,Sub_Trt,Trans_House,Recreation,Inflation,NIA
0,2014,97,11197.333377450826,69.4609825,0,0,0,0,0,0,0,1.91,0
1,2014,27,25528.887749068897,314.67619789375,0,0,4,1,0,0,0,1.91,1
2,2014,38,14298.667752910456,102.57365875,0,0,0,1,0,0,0,1.91,0
3,2014,31,13508.443828339328,311.739173262625,0,0,48,0,0,0,0,1.91,0
4,2014,16,22787.55756656816,156.51816374999999,0,46,0,0,0,0,0,1.91,0
5,2014,118,25097.777113612803,119.97521125,0,0,15,0,0,0,0,1.91,0
6,2014,63,19590.221699503298,137.256685,0,0,26,0,0,0,0,1.91,0
7,2014,3,9406.22189055884,168.918924875,0,60,30,0,0,0,0,1.91,1
8,2014,55,18666.66638055485,110.71428741124998,0,0,1,1,0,0,0,1.91,1
9,2014,59,15581.33269190678,119.08837275,0,0,6,0,0,0,0,1.91,0
10,2014,106,13134.222160741552,142.12236125,0,0,2,0,0,1,0,1.91,0
11,2014,14,38276.44278787741,209.296123872,0,57,5,0,0,0,0,1.91,0
12,2014,66,8791.111378336811,276.79473375000003,0,0,10,0,0,0,0,1.91,0
13,2014,28,9095.99980541702,147.806120625,0,0,7,0,0,0,0,1.91,1
14,2014,139,15287.110165608863,234.038856201,0,0,3,0,0,0,0,1.91,1
15,2014,85,20026.667318770298,188.63736624999999,0,0,10,1,0,0,0,1.91,1
16,2014,70,24898.666484214307,265.966943507625,0,0,85,0,0,0,0,1.91,0
17,2014,40,16337.777725035743,163.220892801125,0,0,19,0,0,0,0,1.91,0
18,2014,61,14399.111437631045,179.79504500000002,0,0,4,0,0,0,0,1.91,1
19,2014,21,11416.00023599542,316.32016787500004,0,36,12,0,0,0,0,1.91,1
20,2014,22,14387.555203118243,184.57309237500002,0,38,6,0,0,0,0,1.91,1
21,2014,133,12110.222006851594,109.18232724999999,0,0,0,0,0,0,0,1.91,0
22,2014,75,28166.22357272622,459.178821042125,0,0,9,1,1,0,1,1.91,0
23,2014,120,23960.000076827808,263.86570125,0,0,8,0,0,1,0,1.91,0
24,2014,123,14475.555811902019,163.49401,1,0,15,0,0,0,0,1.91,0
25,2014,44,20062.221112354255,187.749235021,0,0,51,0,0,0,0,1.91,1
26,2014,92,12863.110179245044,142.5264425,0,0,6,0,0,0,0,1.91,0
27,2014,125,12321.778109044997,161.41249025,0,0,12,0,0,0,0,1.91,1
28,2014,90,13114.666048298963,179.612316995375,0,0,16,0,0,0,0,1.91,0
29,2014,57,10592.889128242126,96.500795,0,0,0,0,0,0,0,1.91,0
30,2014,10,10140.445254899198,204.90005374999998,0,47,0,0,0,0,0,1.91,0
